DNP3point,phase,Index,Measurement mRID,ConductingEquipment,Device Name
l57_Vrms.o2,B,131,_f65c7839-dc90-4e77-8dd6-649ceaaa8661,_AFFAFF34-A2E9-4588-9582-F0D6BA37DEA4,DNP3 Slave
l59_Vrms.o2,B,132,_9e186631-7138-4bbf-af79-ff92ffc377a0,_BF4A1987-C61E-4800-9C41-1A3F569C731B,DNP3 Slave
l6_Vrms.o3,C,133,_2926e3d0-9cb3-4147-aa7b-02b70e9d1369,_5EF8FA72-29BA-4738-9CDD-317DD299F4BF,DNP3 Slave
l61_Vrms.o1,A,134,_2abb81a7-9e56-4bca-98c5-77c0eae04ee9,_79984B89-72F2-437E-BE53-4A511BB96ECD,DNP3 Slave
l61_Vrms.o2,B,135,_220cc19e-7485-4adb-bd89-9f8a37f3b98f,_79984B89-72F2-437E-BE53-4A511BB96ECD,DNP3 Slave
l61_Vrms.o3,C,136,_1bfd888f-63ae-46cd-b2fc-6e76fe350584,_79984B89-72F2-437E-BE53-4A511BB96ECD,DNP3 Slave
l62_Vrms.o1,A,137,_8c33b5ee-3307-4bfa-aa86-4f2b12dd0b6e,_13BB6A20-D5A9-4085-84C1-49B47CFC6A30,DNP3 Slave
l62_Vrms.o2,B,138,_3372e816-35f0-46f0-b25c-c41793e302fd,_13BB6A20-D5A9-4085-84C1-49B47CFC6A30,DNP3 Slave
l62_Vrms.o3,C,139,_3095b279-0e21-42c5-8259-5ad29073a846,_13BB6A20-D5A9-4085-84C1-49B47CFC6A30,DNP3 Slave
l63_Vrms.o1,A,140,_f9e8a65e-ece2-4468-b823-1526cf7cce81,_93C16567-2B6A-4CDE-B628-F589A09B5D50,DNP3 Slave
l63_Vrms.o2,B,141,_95566a8d-835f-485e-88d2-77811bb47482,_93C16567-2B6A-4CDE-B628-F589A09B5D50,DNP3 Slave
l63_Vrms.o3,C,142,_28308041-dfad-495e-845e-9228298cfe72,_93C16567-2B6A-4CDE-B628-F589A09B5D50,DNP3 Slave
l64_Vrms.o1,A,143,_bc40d4dc-7aa9-4009-95be-ef0f62af4908,_DD8AF173-BD16-4089-9ABE-E896CBC6E05F,DNP3 Slave
l64_Vrms.o2,B,144,_35b89cd4-a298-4319-a554-9de1b79e8fdf,_DD8AF173-BD16-4089-9ABE-E896CBC6E05F,DNP3 Slave
l64_Vrms.o3,C,145,_79945cdd-9b23-49a7-86c8-149cc983d517,_DD8AF173-BD16-4089-9ABE-E896CBC6E05F,DNP3 Slave
l65_Vrms.o1,A,146,_8b599092-f0b2-4ca1-8290-da6b86e37507,_03EEFED8-A4CA-4635-825E-E0CA20A1C259,DNP3 Slave
l65_Vrms.o2,B,147,_966f9ffb-4d1d-4c73-b548-8794ed184878,_03EEFED8-A4CA-4635-825E-E0CA20A1C259,DNP3 Slave
l65_Vrms.o3,C,148,_b7bb71a0-c1c6-4c7d-8b18-1f3280a263f0,_03EEFED8-A4CA-4635-825E-E0CA20A1C259,DNP3 Slave
l66_Vrms.o1,A,149,_4481a01b-da5f-43d7-8a0d-05a0236a3627,_7BD0F369-A91A-41FB-9B14-BC0CBF3FB97C,DNP3 Slave
l67_Vrms.o1,A,150,_b856c858-2854-4260-8f5e-5f2614ac5561,_ED2F8B10-49AC-430A-B9F9-F0DEBBC37F30,DNP3 Slave
l67_Vrms.o2,B,151,_f90cd45a-dbde-42ff-a2ce-b1ff1fe97de0,_ED2F8B10-49AC-430A-B9F9-F0DEBBC37F30,DNP3 Slave
l67_Vrms.o3,C,152,_4ec65670-ec0b-4359-98ff-a3cd199b5967,_ED2F8B10-49AC-430A-B9F9-F0DEBBC37F30,DNP3 Slave
l69_Vrms.o1,A,153,_0da03f85-fca8-40c8-9258-69bac1526d39,_992AFE75-6B4B-4CD1-B4E9-A1716288C2AA,DNP3 Slave
l70_Vrms.o1,A,154,_972eb527-8d83-4064-8822-01a92e8c8fcc,_4D4223F8-B722-45D0-8AEF-EE12A9DE229C,DNP3 Slave
l71_Vrms.o1,A,155,_e0d8412a-a82d-40dc-b3e2-3adb35334ceb,_911896B9-1D5F-4F64-85E3-A51D52FC4AC7,DNP3 Slave
l72_Vrms.o3,C,156,_ba041880-48e6-4171-84cf-8af07de19516,_852FEDDD-F35E-4B75-BE91-1D3D60236DAE,DNP3 Slave
l73_Vrms.o1,A,157,_22dad9c2-abad-478a-b8d7-e17a31f574bf,_AC9ACC0D-01EA-4591-8C20-3D9D4AB8A045,DNP3 Slave
l73_Vrms.o2,B,158,_b20ace1d-a257-46d6-943c-0bf44746d6a1,_AC9ACC0D-01EA-4591-8C20-3D9D4AB8A045,DNP3 Slave
l73_Vrms.o3,C,159,_030635f9-77c2-474b-990d-00e67480fc73,_AC9ACC0D-01EA-4591-8C20-3D9D4AB8A045,DNP3 Slave
l74_Vrms.o3,C,160,_ad1e2417-e2a7-41ba-a450-d70fdd08df04,_95220A55-9987-4E4B-B5F7-E4605E7DE3A7,DNP3 Slave
l75_Vrms.o3,C,161,_b159bab0-8cfa-44a7-8fbe-9f7ccaed6a5e,_1C04143A-F9DA-4454-8DEB-6655B4AFDE5D,DNP3 Slave
l76_Vrms.o1,A,162,_199e87e6-eb03-468e-8361-38f1eba82f28,_85D8841B-69D6-4392-BA78-2749C65C0240,DNP3 Slave
l76_Vrms.o2,B,163,_fc5f8d3c-82d0-454f-981c-2e95f9ef44c7,_85D8841B-69D6-4392-BA78-2749C65C0240,DNP3 Slave
l76_Vrms.o3,C,164,_057fe718-ad66-470d-8caf-4d88a961abc3,_85D8841B-69D6-4392-BA78-2749C65C0240,DNP3 Slave
l77_Vrms.o1,A,165,_a5b17e3a-ef34-4991-b0ee-0cf23c05e188,_3E03A34E-B192-4A4C-8F56-6ACE62CE8B8A,DNP3 Slave
l77_Vrms.o2,B,166,_13459149-ebb7-4c89-a5e3-b07de7b52d1c,_3E03A34E-B192-4A4C-8F56-6ACE62CE8B8A,DNP3 Slave
l77_Vrms.o3,C,167,_218714d7-8aef-4952-a429-dadd4be58bfe,_3E03A34E-B192-4A4C-8F56-6ACE62CE8B8A,DNP3 Slave
l78_Vrms.o1,A,168,_b297c1c1-f4d1-44f1-8b1b-a1a6f6219f40,_B287886E-FF1D-476F-9164-253EC9EAB225,DNP3 Slave
l78_Vrms.o2,B,169,_810c8136-34f3-448b-821c-57f51e7fde43,_B287886E-FF1D-476F-9164-253EC9EAB225,DNP3 Slave
l78_Vrms.o3,C,170,_583e9ca2-a2f4-4ce9-93a3-42eadf3b9c6f,_B287886E-FF1D-476F-9164-253EC9EAB225,DNP3 Slave
l79_Vrms.o1,A,171,_f15b41a7-58f1-486f-a1b3-687884a4a07f,_85D6BE35-989E-4B31-9F61-ED5B3560E58B,DNP3 Slave
l79_Vrms.o2,B,172,_e1210663-9be6-44d2-a988-8b5353cd81b0,_85D6BE35-989E-4B31-9F61-ED5B3560E58B,DNP3 Slave
